C:\Users\k.jones\OneDrive - Callaghan Innovation\KJ\PycharmProjects\MIEcalc3\Projects\mie_temp\_meter.csv
3
0.04261661444510836,0.015926005540307448,17,a0 meter
-9.542732432734182e-07,9.143515446504867e-05,17,a1 meter
-0.06807393292476234,0.035790802189636095,17,a2 meter
0.008228635071175263,0.008937938865568207,17,a3 meter
0.00025363765246990354,-9.254497857282508e-07,1.5098574681788913e-05,-2.428397763988762e-06,-9.254497857282508e-07,8.36038747204731e-09,-7.852773960172148e-08,2.1937818710081414e-08,1.5098574681788913e-05,-7.852773960172148e-08,0.0012809815213776598,-0.00028595860731783036,-2.428397763988762e-06,2.1937818710081414e-08,-0.00028595860731783036,7.98867511646347e-05
0.0,0.0,50,b0 meter
0,0.005,12,Meter temperature coefficient
23,0.5,12,Meter calibration temperature
0,0.01,12,Meter annual drift
0,0.005,12,Meter voltage dependence
0,0.01,12,Meter frequency dependence
0,0.5,12,Meter field dependence
0,0.02,12,Meter harmonic dependence
